GEO_ID,NAME,S1601_C01_003E
34001,"Atlantic County, New Jersey",68195
34003,"Bergen County, New Jersey",349997
34005,"Burlington County, New Jersey",55330
34007,"Camden County, New Jersey",98399
34009,"Cape May County, New Jersey",8116
34011,"Cumberland County, New Jersey",39974
34013,"Essex County, New Jersey",260349
34015,"Gloucester County, New Jersey",24114
34017,"Hudson County, New Jersey",368087
34019,"Hunterdon County, New Jersey",12870
34021,"Mercer County, New Jersey",103125
34023,"Middlesex County, New Jersey",338680
34025,"Monmouth County, New Jersey",103082
34027,"Morris County, New Jersey",114246
34029,"Ocean County, New Jersey",67685
34031,"Passaic County, New Jersey",227140
34033,"Salem County, New Jersey",5101
34035,"Somerset County, New Jersey",95474
34037,"Sussex County, New Jersey",12899
34039,"Union County, New Jersey",225154
34041,"Warren County, New Jersey",12242
