GEO_ID,NAME,S1601_C01_001E,S1601_C01_002E
34001,"Atlantic County, New Jersey",253271,185076
34003,"Bergen County, New Jersey",880617,530620
34005,"Burlington County, New Jersey",423139,367809
34007,"Camden County, New Jersey",476121,377722
34009,"Cape May County, New Jersey",89324,81208
34011,"Cumberland County, New Jersey",143455,103481
34013,"Essex County, New Jersey",741002,480653
34015,"Gloucester County, New Jersey",275344,251230
34017,"Hudson County, New Jersey",621585,253498
34019,"Hunterdon County, New Jersey",120069,107199
34021,"Mercer County, New Jersey",347812,244687
34023,"Middlesex County, New Jersey",778162,439482
34025,"Monmouth County, New Jersey",592146,489064
34027,"Morris County, New Jersey",469700,355454
34029,"Ocean County, New Jersey",550740,483055
34031,"Passaic County, New Jersey",469633,242493
34033,"Salem County, New Jersey",59908,54807
34035,"Somerset County, New Jersey",312851,217377
34037,"Sussex County, New Jersey",135850,122951
34039,"Union County, New Jersey",518010,292856
34041,"Warren County, New Jersey",101422,89180
